category_name,resource_name,formats,department,division,tags,redistribution_allowed,commercial_use_allowed,provider,tel,description,comment,year,month,day,repeat_rule_frequency,repeat_rule_interval,repeat_rule_description
運輸・通信,県内市町村のブロードバンドの状況,HTML,地域振興部,情報政策課,統計,true,true,鳥取県,0857-26-7849,県内市町村別のブロードバンド環境の整備状況,"",2007,11,,,,
運輸・通信,港湾取扱貨物量,XLS,県土整備部,空港港湾課,統計,true,true,鳥取県,0857-26-7405,入港船舶の隻数及び総トン数、海上出入貨物量、コンテナ貨物量,"",2007,,,,,
教育・文化,学校便覧,PDF,教育委員会事務局,教育総務課,統計,true,true,鳥取県,0857-26-7914,鳥取県内の各学校の児童・生徒・教員数など,"",2013,,,fiscal_yearly,,毎年度
教育・文化,社会生活基本調査,"",地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,周期報、インターネット、ボランティア活動、スポーツ活動、学習・研究、趣味・娯楽、生活時間、生活行動,"",2011,,,yearly,5,5年毎
教育・文化,鳥取県の特別支援教育の現況,PDF,教育委員会事務局,特別支援教育課,非定型,true,true,鳥取県,0857-26-7574,障害のある児童生徒等の就学状況、特別支援学校の現況、特別支援学級の現況、進路状況、発達障害のある児童生徒数,"",2013,3,,,,
教育・文化,不登校児童生徒数・割合の推移,HTML,教育委員会事務局,小中学校課,統計,true,true,鳥取県,0857-26-7512,不登校児童生徒数・割合,"",2012,10,,fiscal_yearly,,毎年度
教育・文化,市町村公共図書館の館長・司書配置状況,PDF,教育委員会事務局,家庭・地域教育課,報告書,true,true,鳥取県,0857-26-7521,"","",2009,3,,,,
教育・文化,小・中学校における学校図書館専任職員の配置状況,PDF,教育委員会事務局,家庭・地域教育課,報告書,true,true,鳥取県,0857-26-7521,鳥取県内小・中学校専任図書教諭配置市町村数,"",2009,3,,,,
教育・文化,市町村設置公民館の職員体制及び開館状況地区,HTML,教育委員会事務局,家庭・地域教育課,統計,true,true,鳥取県,0857-26-7518,各市町村別（公民館・分館を含む）,"",2013,4,,,,
教育・文化,全国からみた鳥取県立図書館の位置,PDF,教育委員会事務局,図書館,統計,true,true,鳥取県,0857-26-8155,個人貸出数、1人あたり資料費等の数値と全国順位,利用時は出所を明示してください。,2011,,,fiscal_yearly,,毎年度
教育・文化,ブックスタート等への取組状況,PDF,教育委員会事務局,家庭・地域教育課,報告書,true,true,鳥取県,0857-26-7521,（平成20年4月1日現在）,"",2009,3,,,,
教育・文化,全国からみた鳥取県の公共図書館の位置,PDF,教育委員会事務局,図書館,統計,true,true,鳥取県,0857-26-8155,図書館設置率、個人貸出数等の数値と全国順位,利用時は出所を明示してください。,2011,,,fiscal_yearly,,毎年度
教育・文化,学校基本調査,XLS,地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,年度報、小学校、中学校、高等学校、児童数、教員数、生徒数、長期欠席、卒業後の進路、進学率、就職率,"",2013,,,fiscal_yearly,,毎年度
教育・文化,小・中学校の学校図書館図書標準達成状況,PDF,教育委員会事務局,家庭・地域教育課,報告書,true,true,鳥取県,0857-26-7521,鳥取県内小・中学校の学校図書館図書標準達成校数、割合,"",2009,3,,,,
教育・文化,市町村公共図書館の整備状況,PDF,教育委員会事務局,家庭・地域教育課,報告書,true,true,鳥取県,0857-26-7521,（平成20年5月8日現在）,"",2009,3,,,,
教育・文化,公共施設の状況,PDF,地域振興部,地域振興課,統計,true,true,鳥取県,0857-26-7056,市町村別公共施設整備状況,"",2011,,,fiscal_yearly,,毎年度
教育・文化,学校保健統計調査,XLS,地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,年報、幼児、児童、生徒、発育状況、健康状況,"",2012,,,fiscal_yearly,,毎年度
教育・文化,「朝の読書」の取組状況,PDF,教育委員会事務局,家庭・地域教育課,報告書,true,true,鳥取県,0857-26-7521,鳥取県内小・中・高等学校の朝の読書実施率、鳥取県の実施率と全国の比較,"",2009,3,,,,
教育・文化,鳥取県立図書館利用状況,PDF,教育委員会事務局,図書館,統計,true,true,鳥取県,0857-26-8155,鳥取県立図書館の利用状況、入館者数、貸出冊数等,利用時は出所を明示してください。,2011,,,fiscal_yearly,,毎年度
教育・文化,県内の埋蔵文化財発掘調査件数推移,"",教育委員会事務局,埋蔵文化財センター,統計,true,true,鳥取県,0857-27-6711,昭和39年からの調査件数（毎年）,"",2012,,,fiscal_yearly,,毎年度
教育・文化,市町村立図書館・公民館図書室の横断検索状況,PDF,教育委員会事務局,家庭・地域教育課,報告書,true,true,鳥取県,0857-26-7521,（平成20年4月1日現在）,"",2009,3,,,,
経済,産業連関表,"",地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,周期報、波及効果,"",2005,,,yearly,5,5年毎
経済,市町村民経済計算,"",地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,年度報、市町村内総生産、市町村民所得,"",2010,,,fiscal_yearly,,毎年度
経済,県民経済計算,"",地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,年度報、県内総生産、県民所得、県民総支出,"",2010,,,fiscal_yearly,,毎年度
経済,鳥取県企業経営者見通し調査,"",地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,四半期報、景気見通し、ＢＳＩ,"",2013,8,,monthly,3,3ヶ月毎
経済,鳥取県の経済動向,"",地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,月報、景気の基調判断、ＣＩ、ＤＩ,"",2013,9,,monthly,,毎月
健康・保健・社会保障,県民歯科疾患実態調査,PDF,福祉保健部,健康政策課,報告書,true,true,鳥取県,0857-26-7227,県民の歯科保健の状況、むし歯の罹患状況、歯肉・歯石の沈着状況、歯磨きの状況,"",2010,,,yearly,5,5年毎
健康・保健・社会保障,感染症情報,PDF,生活環境部,衛生環境研究所,統計,true,true,鳥取県,0858-35-5411,週報、月報、年報、地区別、感染症流行情報、感染症発生動向,"",2013,9,,weekly,,毎週
健康・保健・社会保障,県民健康栄養調査,PDF,福祉保健部,健康政策課,報告書,true,true,鳥取県,0857-26-7227,県民の栄養の摂取状況、身体状況、健康づくりについての意識調査、県民の食習慣、運動習慣、生活習慣,"",2011,10,,,,
県政,監査調書,PDF,未来づくり推進局,県民課,非定型,true,true,鳥取県,0857-26-7752,監査調書の公開,"",2012,,,fiscal_yearly,,毎年度
県政,議員提出議案,HTML,各種委員会,県議会,非定型,true,true,鳥取県,0857-26-7460,議員提出議案を一覧表,"",2012,,,yearly,,毎年
県政,議員の派遣状況,"",各種委員会,県議会,非定型,true,true,鳥取県,0857-26-7460,議員の派遣状況、報告書等,"",2012,,,fiscal_yearly,,毎年度
県政,職員の民間企業等への再就職状況,"",総務部,人事企画課,統計,true,true,鳥取県,0857-26-7032,鳥取県（知事部局）を退職した職員の再就職状況,"",2013,,,fiscal_yearly,,毎年度
県政,指定管理者制度導入施設の管理状況等,"",総務部,業務効率推進課,非定型,true,true,鳥取県,0857-26-7544,事業計画、事業報告等,"",2013,,,as_needed,,随時
県政,審議会情報,"",未来づくり推進局,県民課,非定型,true,true,鳥取県,0857-26-7752,町内に設置している審議会情報,"",2013,,,as_needed,,随時
県政,一定の公職者からの提言等,HTML,未来づくり推進局,県民課,非定型,true,true,鳥取県,0857-26-7752,一定の公職者からの提言等,"",2013,,,fiscal_yearly,,毎年度
県政,政務調査費収支報告書,PDF,各種委員会,県議会,報告書,true,true,鳥取県,0857-26-7460,政務活動費（政務調査費）の使途,"",2012,,,fiscal_yearly,,毎年度
県政,職員名簿,HTML,総務部,人事企画課,非定型,true,true,鳥取県,0857-26-7032,職員名簿、所属部局、連絡先等,"",2013,,,as_needed,,随時
県政,委員会会議録等,HTML,各種委員会,県議会,非定型,true,true,鳥取県,0857-26-7460,県議会各種委員会会議録等,"",2012,,,fiscal_yearly,,毎年度
公務員・選挙,鳥取県の人事行政の運営等の状況の公表,PDF,総務部,人事企画課,統計,true,true,鳥取県,0857-26-7032,人件費、初任給基準、平均給料・平均給与月額、ラスパイレス指数、諸手当の支給基準・支給実績、特別職の給与の基準・支給実績、県職員採用試験状況,"",2012,,,fiscal_yearly,,毎年度
公務員・選挙,市町村別給与・職員の情報,"",地域振興部,地域振興課,統計,true,true,鳥取県,0857-26-7056,市町村別の給与、職員数、ラスパイレス指数,"",2012,,,fiscal_yearly,,毎年度
公務員・選挙,選挙結果,PDF,各種委員会,選挙管理委員会,統計,true,true,鳥取県,0857-26-7058,平成１２年以降に執行された国政選挙、地方選挙の選挙結果,"",2012,12,,unscheduled,,不定期
公務員・選挙,選挙人名簿登録者数,PDF,各種委員会,選挙管理委員会,統計,true,true,鳥取県,0857-26-7058,選挙人名簿登録者数、衆議院議員選挙区別登録者数、在外選挙人名簿登録者数,"",2013,9,,monthly,3,3ヶ月毎
公務員・選挙,政治団体収支報告書の概要,PDF,各種委員会,選挙管理委員会,統計,true,true,鳥取県,0857-26-7058,収支報告書の提出団体数、収入支出額等,"",2011,,,yearly,,毎年
公務員・選挙,鳥取県職員数の状況,PDF,総務部,業務効率推進課,統計,true,true,鳥取県,0857-26-7612,部門別職員数の状況,"",2013,,,fiscal_yearly,,毎年度
